Passageiro;Sobrevivente;Classe;Nome;Sexo;Idade;Irmãos;Pais
93;0;1;Chaffee, Mr. Herbert Fuller;masculino;46;1;0
94;0;3;Dean, Mr. Bertram Frank;masculino;26;1;2
95;0;3;Coxon, Mr. Daniel;masculino;59;0;0
97;0;1;Goldschmidt, Mr. George B;masculino;71;0;0
98;1;1;Greenfield, Mr. William Bertram;masculino;23;0;1
99;1;2;Doling, Mrs. John T (Ada Julia Bone);feminino;34;0;1
100;0;2;Kantor, Mr. Sinai;masculino;34;1;0
101;0;3;Petranec, Miss. Matilda;feminino;28;0;0
103;0;1;White, Mr. Richard Frasar;masculino;21;0;1
104;0;3;Johansson, Mr. Gustaf Joel;masculino;33;0;0
105;0;3;Gustafsson, Mr. Anders Vilhelm;masculino;37;2;0
106;0;3;Mionoff, Mr. Stoytcho;masculino;28;0;0
107;1;3;Salkjelsvik, Miss. Anna Kristine;feminino;21;0;0
109;0;3;Rekic, Mr. Tido;masculino;38;0;0
111;0;1;Porter, Mr. Walter Chamberlain;masculino;47;0;0
112;0;3;Zabour, Miss. Hileni;feminino;14,5;1;0
113;0;3;Barton, Mr. David John;masculino;22;0;0
114;0;3;Jussila, Miss. Katriina;feminino;20;1;0
115;0;3;Attalah, Miss. Malake;feminino;17;0;0
116;0;3;Pekoniemi, Mr. Edvard;masculino;21;0;0
117;0;3;Connors, Mr. Patrick;masculino;70,5;0;0
118;0;2;Turpin, Mr. William John Robert;masculino;29;1;0
119;0;1;Baxter, Mr. Quigg Edmond;masculino;24;0;1
120;0;3;Andersson, Miss. Ellis Anna Maria;feminino;2;4;2
121;0;2;Hickman, Mr. Stanley George;masculino;21;2;0
123;0;2;Nasser, Mr. Nicholas;masculino;32,5;1;0
124;1;2;Webber, Miss. Susan;feminino;32,5;0;0
125;0;1;White, Mr. Percival Wayland;masculino;54;0;1
126;1;3;Nicola-Yarred, Master. Elias;masculino;12;1;0
128;1;3;Madsen, Mr. Fridtjof Arne;masculino;24;0;0
130;0;3;Ekstrom, Mr. Johan;masculino;45;0;0
131;0;3;Drazenoic, Mr. Jozef;masculino;33;0;0
132;0;3;Coelho, Mr. Domingos Fernandeo;masculino;20;0;0
133;0;3;Robins, Mrs. Alexander A (Grace Charity Laury);feminino;47;1;0
134;1;2;Weisz, Mrs. Leopold (Mathilde Francoise Pede);feminino;29;1;0
135;0;2;Sobey, Mr. Samuel James Hayden;masculino;25;0;0
136;0;2;Richard, Mr. Emile;masculino;23;0;0
137;1;1;Newsom, Miss. Helen Monypeny;feminino;19;0;2
138;0;1;Futrelle, Mr. Jacques Heath;masculino;37;1;0
139;0;3;Osen, Mr. Olaf Elon;masculino;16;0;0
140;0;1;Giglio, Mr. Victor;masculino;24;0;0
142;1;3;Nysten, Miss. Anna Sofia;feminino;22;0;0
143;1;3;Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck);feminino;24;1;0
144;0;3;Burke, Mr. Jeremiah;masculino;19;0;0
145;0;2;Andrew, Mr. Edgardo Samuel;masculino;18;0;0
146;0;2;Nicholls, Mr. Joseph Charles;masculino;19;1;1
147;1;3;"Andersson, Mr. August Edvard (""Wennerstrom"")";masculino;27;0;0
148;0;3;"Ford, Miss. Robina Maggie ""Ruby""";feminino;9;2;2
149;0;2;"Navratil, Mr. Michel (""Louis M Hoffman"")";masculino;36,5;0;2
150;0;2;Byles, Rev. Thomas Roussel Davids;masculino;42;0;0
151;0;2;Bateman, Rev. Robert James;masculino;51;0;0
152;1;1;Pears, Mrs. Thomas (Edith Wearne);feminino;22;1;0
153;0;3;Meo, Mr. Alfonzo;masculino;55,5;0;0
154;0;3;van Billiard, Mr. Austin Blyler;masculino;40,5;0;2
156;0;1;Williams, Mr. Charles Duane;masculino;51;0;1
157;1;3;"Gilnagh, Miss. Katherine ""Katie""";feminino;16;0;0
158;0;3;Corn, Mr. Harry;masculino;30;0;0
161;0;3;Cribb, Mr. John Hatfield;masculino;44;0;1
162;1;2;"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)";feminino;40;0;0
163;0;3;Bengtsson, Mr. John Viktor;masculino;26;0;0
164;0;3;Calic, Mr. Jovo;masculino;17;0;0
165;0;3;Panula, Master. Eino Viljami;masculino;1;4;1
166;1;3;"Goldsmith, Master. Frank John William ""Frankie""";masculino;9;0;2
168;0;3;Skoog, Mrs. William (Anna Bernhardina Karlsson);feminino;45;1;4
170;0;3;Ling, Mr. Lee;masculino;28;0;0
171;0;1;Van der hoef, Mr. Wyckoff;masculino;61;0;0
172;0;3;Rice, Master. Arthur;masculino;4;4;1
173;1;3;Johnson, Miss. Eleanor Ileen;feminino;1;1;1
174;0;3;Sivola, Mr. Antti Wilhelm;masculino;21;0;0
175;0;1;Smith, Mr. James Clinch;masculino;56;0;0
176;0;3;Klasen, Mr. Klas Albin;masculino;18;1;1
178;0;1;Isham, Miss. Ann Elizabeth;feminino;50;0;0
179;0;2;Hale, Mr. Reginald;masculino;30;0;0
180;0;3;Leonard, Mr. Lionel;masculino;36;0;0
183;0;3;Asplund, Master. Clarence Gustaf Hugo;masculino;9;4;2
184;1;2;Becker, Master. Richard F;masculino;1;2;1
185;1;3;Kink-Heilmann, Miss. Luise Gretchen;feminino;4;0;2
188;1;1;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";masculino;45;0;0
189;0;3;Bourke, Mr. John;masculino;40;1;1
190;0;3;Turcin, Mr. Stjepan;masculino;36;0;0
191;1;2;Pinsky, Mrs. (Rosa);feminino;32;0;0
192;0;2;Carbines, Mr. William;masculino;19;0;0
193;1;3;Andersen-Jensen, Miss. Carla Christine Nielsine;feminino;19;1;0
194;1;2;Navratil, Master. Michel M;masculino;3;1;1
195;1;1;Brown, Mrs. James Joseph (Margaret Tobin);feminino;44;0;0
196;1;1;Lurette, Miss. Elise;feminino;58;0;0
198;0;3;Olsen, Mr. Karl Siegwart Andreas;masculino;42;0;1
200;0;2;"Yrois, Miss. Henriette (""Mrs Harbeck"")";feminino;24;0;0
201;0;3;Vande Walle, Mr. Nestor Cyriel;masculino;28;0;0
203;0;3;Johanson, Mr. Jakob Alfred;masculino;34;0;0
204;0;3;Youseff, Mr. Gerious;masculino;45,5;0;0
205;1;3;"Cohen, Mr. Gurshon ""Gus""";masculino;18;0;0
206;0;3;Strom, Miss. Telma Matilda;feminino;2;0;1
207;0;3;Backstrom, Mr. Karl Alfred;masculino;32;1;0
208;1;3;Albimona, Mr. Nassef Cassem;masculino;26;0;0
209;1;3;"Carr, Miss. Helen ""Ellen""";feminino;16;0;0
210;1;1;Blank, Mr. Henry;masculino;40;0;0
211;0;3;Ali, Mr. Ahmed;masculino;24;0;0
212;1;2;Cameron, Miss. Clear Annie;feminino;35;0;0
213;0;3;Perkin, Mr. John Henry;masculino;22;0;0
214;0;2;Givard, Mr. Hans Kristensen;masculino;30;0;0
216;1;1;Newell, Miss. Madeleine;feminino;31;1;0
217;1;3;Honkanen, Miss. Eliina;feminino;27;0;0
218;0;2;Jacobsohn, Mr. Sidney Samuel;masculino;42;1;0
219;1;1;Bazzani, Miss. Albina;feminino;32;0;0
220;0;2;Harris, Mr. Walter;masculino;30;0;0
221;1;3;Sunderland, Mr. Victor Francis;masculino;16;0;0
222;0;2;Bracken, Mr. James H;masculino;27;0;0
223;0;3;Green, Mr. George Henry;masculino;51;0;0
225;1;1;Hoyt, Mr. Frederick Maxfield;masculino;38;1;0
226;0;3;Berglund, Mr. Karl Ivar Sven;masculino;22;0;0
227;1;2;Mellors, Mr. William John;masculino;19;0;0
228;0;3;"Lovell, Mr. John Hall (""Henry"")";masculino;20,5;0;0
229;0;2;Fahlstrom, Mr. Arne Jonas;masculino;18;0;0
231;1;1;Harris, Mrs. Henry Birkhardt (Irene Wallach);feminino;35;1;0
232;0;3;Larsson, Mr. Bengt Edvin;masculino;29;0;0
233;0;2;Sjostedt, Mr. Ernst Adolf;masculino;59;0;0
234;1;3;Asplund, Miss. Lillian Gertrud;feminino;5;4;2
235;0;2;Leyson, Mr. Robert William Norman;masculino;24;0;0
237;0;2;Hold, Mr. Stephen;masculino;44;1;0
238;1;2;"Collyer, Miss. Marjorie ""Lottie""";feminino;8;0;2
239;0;2;Pengelly, Mr. Frederick William;masculino;19;0;0
240;0;2;Hunt, Mr. George Henry;masculino;33;0;0
243;0;2;Coleridge, Mr. Reginald Charles;masculino;29;0;0
244;0;3;Maenpaa, Mr. Matti Alexanteri;masculino;22;0;0
245;0;3;Attalah, Mr. Sleiman;masculino;30;0;0
246;0;1;Minahan, Dr. William Edward;masculino;44;2;0
247;0;3;Lindahl, Miss. Agda Thorilda Viktoria;feminino;25;0;0
248;1;2;Hamalainen, Mrs. William (Anna);feminino;24;0;2
249;1;1;Beckwith, Mr. Richard Leonard;masculino;37;1;1
250;0;2;Carter, Rev. Ernest Courtenay;masculino;54;1;0
252;0;3;Strom, Mrs. Wilhelm (Elna Matilda Persson);feminino;29;1;1
253;0;1;Stead, Mr. William Thomas;masculino;62;0;0
254;0;3;Lobb, Mr. William Arthur;masculino;30;1;0
255;0;3;Rosblom, Mrs. Viktor (Helena Wilhelmina);feminino;41;0;2
256;1;3;Touma, Mrs. Darwis (Hanne Youssef Razi);feminino;29;0;2
258;1;1;Cherry, Miss. Gladys;feminino;30;0;0
259;1;1;Ward, Miss. Anna;feminino;35;0;0
260;1;2;Parrish, Mrs. (Lutie Davis);feminino;50;0;1
262;1;3;Asplund, Master. Edvin Rojj Felix;masculino;3;4;2
263;0;1;Taussig, Mr. Emil;masculino;52;1;1
264;0;1;Harrison, Mr. William;masculino;40;0;0
266;0;2;Reeves, Mr. David;masculino;36;0;0
267;0;3;Panula, Mr. Ernesti Arvid;masculino;16;4;1
268;1;3;Persson, Mr. Ernst Ulrik;masculino;25;1;0
269;1;1;Graham, Mrs. William Thompson (Edith Junkins);feminino;58;0;1
270;1;1;Bissette, Miss. Amelia;feminino;35;0;0
272;1;3;Tornquist, Mr. William Henry;masculino;25;0;0
273;1;2;Mellinger, Mrs. (Elizabeth Anne Maidment);feminino;41;0;1
274;0;1;Natsch, Mr. Charles H;masculino;37;0;1
276;1;1;Andrews, Miss. Kornelia Theodosia;feminino;63;1;0
277;0;3;Lindblom, Miss. Augusta Charlotta;feminino;45;0;0
279;0;3;Rice, Master. Eric;masculino;7;4;1
280;1;3;Abbott, Mrs. Stanton (Rosa Hunt);feminino;35;1;1
281;0;3;Duane, Mr. Frank;masculino;65;0;0
282;0;3;Olsson, Mr. Nils Johan Goransson;masculino;28;0;0
283;0;3;de Pelsmaeker, Mr. Alfons;masculino;16;0;0
284;1;3;Dorking, Mr. Edward Arthur;masculino;19;0;0
286;0;3;Stankovic, Mr. Ivan;masculino;33;0;0
287;1;3;de Mulder, Mr. Theodore;masculino;30;0;0
288;0;3;Naidenoff, Mr. Penko;masculino;22;0;0
289;1;2;Hosono, Mr. Masabumi;masculino;42;0;0
290;1;3;Connolly, Miss. Kate;feminino;22;0;0
291;1;1;"Barber, Miss. Ellen ""Nellie""";feminino;26;0;0
292;1;1;Bishop, Mrs. Dickinson H (Helen Walton);feminino;19;1;0
293;0;2;Levy, Mr. Rene Jacques;masculino;36;0;0
294;0;3;Haas, Miss. Aloisia;feminino;24;0;0
295;0;3;Mineff, Mr. Ivan;masculino;24;0;0
297;0;3;Hanna, Mr. Mansour;masculino;23,5;0;0
298;0;1;Allison, Miss. Helen Loraine;feminino;2;1;2
300;1;1;Baxter, Mrs. James (Helene DeLaudeniere Chaput);feminino;50;0;1
303;0;3;Johnson, Mr. William Cahoone Jr;masculino;19;0;0
306;1;1;Allison, Master. Hudson Trevor;masculino;0,92;1;2
308;1;1;Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo);feminino;17;1;0
309;0;2;Abelson, Mr. Samuel;masculino;30;1;0
310;1;1;Francatelli, Miss. Laura Mabel;feminino;30;0;0
311;1;1;Hays, Miss. Margaret Bechstein;feminino;24;0;0
312;1;1;Ryerson, Miss. Emily Borie;feminino;18;2;2
313;0;2;Lahtinen, Mrs. William (Anna Sylfven);feminino;26;1;1
314;0;3;Hendekovic, Mr. Ignjac;masculino;28;0;0
315;0;2;Hart, Mr. Benjamin;masculino;43;1;1
316;1;3;Nilsson, Miss. Helmina Josefina;feminino;26;0;0
317;1;2;Kantor, Mrs. Sinai (Miriam Sternin);feminino;24;1;0
318;0;2;Moraweck, Dr. Ernest;masculino;54;0;0
319;1;1;Wick, Miss. Mary Natalie;feminino;31;0;2
320;1;1;Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone);feminino;40;1;1
321;0;3;Dennis, Mr. Samuel;masculino;22;0;0
322;0;3;Danoff, Mr. Yoto;masculino;27;0;0
323;1;2;Slayter, Miss. Hilda Mary;feminino;30;0;0
324;1;2;Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh);feminino;22;1;1
326;1;1;Young, Miss. Marie Grice;feminino;36;0;0
327;0;3;Nysveen, Mr. Johan Hansen;masculino;61;0;0
328;1;2;Ball, Mrs. (Ada E Hall);feminino;36;0;0
329;1;3;Goldsmith, Mrs. Frank John (Emily Alice Brown);feminino;31;1;1
330;1;1;Hippach, Miss. Jean Gertrude;feminino;16;0;1
332;0;1;Partner, Mr. Austen;masculino;45,5;0;0
333;0;1;Graham, Mr. George Edward;masculino;38;0;1
334;0;3;Vander Planke, Mr. Leo Edmondus;masculino;16;2;0
337;0;1;Pears, Mr. Thomas Clinton;masculino;29;1;0
338;1;1;Burns, Miss. Elizabeth Margaret;feminino;41;0;0
339;1;3;Dahl, Mr. Karl Edwart;masculino;45;0;0
340;0;1;Blackwell, Mr. Stephen Weart;masculino;45;0;0
341;1;2;Navratil, Master. Edmond Roger;masculino;2;1;1
342;1;1;Fortune, Miss. Alice Elizabeth;feminino;24;3;2
343;0;2;Collander, Mr. Erik Gustaf;masculino;28;0;0
344;0;2;Sedgwick, Mr. Charles Frederick Waddington;masculino;25;0;0
345;0;2;Fox, Mr. Stanley Hubert;masculino;36;0;0
346;1;2;"Brown, Miss. Amelia ""Mildred""";feminino;24;0;0
347;1;2;Smith, Miss. Marion Elsie;feminino;40;0;0
349;1;3;"Coutts, Master. William Loch ""William""";masculino;3;1;1
350;0;3;Dimic, Mr. Jovan;masculino;42;0;0
351;0;3;Odahl, Mr. Nils Martin;masculino;23;0;0
353;0;3;Elias, Mr. Tannous;masculino;15;1;1
354;0;3;Arnold-Franchi, Mr. Josef;masculino;25;1;0
356;0;3;Vanden Steen, Mr. Leo Peter;masculino;28;0;0
357;1;1;Bowerman, Miss. Elsie Edith;feminino;22;0;1
358;0;2;Funk, Miss. Annie Clemmer;feminino;38;0;0
361;0;3;Skoog, Mr. Wilhelm;masculino;40;1;4
362;0;2;del Carlo, Mr. Sebastiano;masculino;29;1;0
363;0;3;Barbara, Mrs. (Catherine David);feminino;45;0;1
364;0;3;Asim, Mr. Adola;masculino;35;0;0
366;0;3;Adahl, Mr. Mauritz Nils Martin;masculino;30;0;0
367;1;1;Warren, Mrs. Frank Manley (Anna Sophia Atkinson);feminino;60;1;0
370;1;1;Aubart, Mme. Leontine Pauline;feminino;24;0;0
371;1;1;Harder, Mr. George Achilles;masculino;25;1;0
372;0;3;Wiklund, Mr. Jakob Alfred;masculino;18;1;0
373;0;3;Beavan, Mr. William Thomas;masculino;19;0;0
374;0;1;Ringhini, Mr. Sante;masculino;22;0;0
375;0;3;Palsson, Miss. Stina Viola;feminino;3;3;1
377;1;3;Landergren, Miss. Aurora Adelia;feminino;22;0;0
378;0;1;Widener, Mr. Harry Elkins;masculino;27;0;2
379;0;3;Betros, Mr. Tannous;masculino;20;0;0
380;0;3;Gustafsson, Mr. Karl Gideon;masculino;19;0;0
381;1;1;Bidois, Miss. Rosalie;feminino;42;0;0
382;1;3;"Nakid, Miss. Maria (""Mary"")";feminino;1;0;2
383;0;3;Tikkanen, Mr. Juho;masculino;32;0;0
384;1;1;Holverson, Mrs. Alexander Oskar (Mary Aline Towner);feminino;35;1;0
386;0;2;Davies, Mr. Charles Henry;masculino;18;0;0
387;0;3;Goodwin, Master. Sidney Leonard;masculino;1;5;2
388;1;2;Buss, Miss. Kate;feminino;36;0;0
390;1;2;Lehmann, Miss. Bertha;feminino;17;0;0
391;1;1;Carter, Mr. William Ernest;masculino;36;1;2
392;1;3;Jansson, Mr. Carl Olof;masculino;21;0;0
393;0;3;Gustafsson, Mr. Johan Birger;masculino;28;2;0
394;1;1;Newell, Miss. Marjorie;feminino;23;1;0
395;1;3;Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson);feminino;24;0;2
396;0;3;Johansson, Mr. Erik;masculino;22;0;0
397;0;3;Olsson, Miss. Elina;feminino;31;0;0
398;0;2;McKane, Mr. Peter David;masculino;46;0;0
399;0;2;Pain, Dr. Alfred;masculino;23;0;0
400;1;2;Trout, Mrs. William H (Jessie L);feminino;28;0;0
401;1;3;Niskanen, Mr. Juha;masculino;39;0;0
402;0;3;Adams, Mr. John;masculino;26;0;0
403;0;3;Jussila, Miss. Mari Aina;feminino;21;1;0
404;0;3;Hakkarainen, Mr. Pekka Pietari;masculino;28;1;0
405;0;3;Oreskovic, Miss. Marija;feminino;20;0;0
406;0;2;Gale, Mr. Shadrach;masculino;34;1;0
407;0;3;Widegren, Mr. Carl/Charles Peter;masculino;51;0;0
408;1;2;Richards, Master. William Rowe;masculino;3;1;1
409;0;3;Birkeland, Mr. Hans Martin Monsen;masculino;21;0;0
413;1;1;Minahan, Miss. Daisy E;feminino;33;1;0
415;1;3;Sundman, Mr. Johan Julian;masculino;44;0;0
417;1;2;Drew, Mrs. James Vivian (Lulu Thorne Christian);feminino;34;1;1
418;1;2;Silven, Miss. Lyyli Karoliina;feminino;18;0;2
419;0;2;Matthews, Mr. William John;masculino;30;0;0
420;0;3;Van Impe, Miss. Catharina;feminino;10;0;2
422;0;3;Charters, Mr. David;masculino;21;0;0
423;0;3;Zimmerman, Mr. Leo;masculino;29;0;0
424;0;3;Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren);feminino;28;1;1
425;0;3;Rosblom, Mr. Viktor Richard;masculino;18;1;1
427;1;2;Clarke, Mrs. Charles V (Ada Maria Winfield);feminino;28;1;0
428;1;2;"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")";feminino;19;0;0
430;1;3;Pickard, Mr. Berk (Berk Trembisky);masculino;32;0;0
431;1;1;Bjornstrom-Steffansson, Mr. Mauritz Hakan;masculino;28;0;0
433;1;2;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);feminino;42;1;0
434;0;3;Kallio, Mr. Nikolai Erland;masculino;17;0;0
435;0;1;Silvey, Mr. William Baird;masculino;50;1;0
436;1;1;Carter, Miss. Lucile Polk;feminino;14;1;2
437;0;3;"Ford, Miss. Doolina Margaret ""Daisy""";feminino;21;2;2
438;1;2;Richards, Mrs. Sidney (Emily Hocking);feminino;24;2;3
439;0;1;Fortune, Mr. Mark;masculino;64;1;4
440;0;2;Kvillner, Mr. Johan Henrik Johannesson;masculino;31;0;0
441;1;2;Hart, Mrs. Benjamin (Esther Ada Bloomfield);feminino;45;1;1
442;0;3;Hampe, Mr. Leon;masculino;20;0;0
443;0;3;Petterson, Mr. Johan Emil;masculino;25;1;0
444;1;2;Reynaldo, Ms. Encarnacion;feminino;28;0;0
446;1;1;Dodge, Master. Washington;masculino;4;0;2
447;1;2;Mellinger, Miss. Madeleine Violet;feminino;13;0;1
448;1;1;Seward, Mr. Frederic Kimber;masculino;34;0;0
449;1;3;Baclini, Miss. Marie Catherine;feminino;5;2;1
450;1;1;Peuchen, Major. Arthur Godfrey;masculino;52;0;0
451;0;2;West, Mr. Edwy Arthur;masculino;36;1;2
453;0;1;Foreman, Mr. Benjamin Laventall;masculino;30;0;0
454;1;1;Goldenberg, Mr. Samuel L;masculino;49;1;0
456;1;3;Jalsevac, Mr. Ivan;masculino;29;0;0
457;0;1;Millet, Mr. Francis Davis;masculino;65;0;0
459;1;2;Toomey, Miss. Ellen;feminino;50;0;0
461;1;1;Anderson, Mr. Harry;masculino;48;0;0
462;0;3;Morley, Mr. William;masculino;34;0;0
463;0;1;Gee, Mr. Arthur H;masculino;47;0;0
464;0;2;Milling, Mr. Jacob Christian;masculino;48;0;0
466;0;3;Goncalves, Mr. Manuel Estanslas;masculino;38;0;0
468;0;1;Smart, Mr. John Montgomery;masculino;56;0;0
470;1;3;Baclini, Miss. Helene Barbara;feminino;0,75;2;1
472;0;3;Cacic, Mr. Luka;masculino;38;0;0
473;1;2;West, Mrs. Edwy Arthur (Ada Mary Worth);feminino;33;1;2
474;1;2;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);feminino;23;0;0
475;0;3;Strandberg, Miss. Ida Sofia;feminino;22;0;0
477;0;2;Renouf, Mr. Peter Henry;masculino;34;1;0
478;0;3;Braund, Mr. Lewis Richard;masculino;29;1;0
479;0;3;Karlsson, Mr. Nils August;masculino;22;0;0
480;1;3;Hirvonen, Miss. Hildur E;feminino;2;0;1
481;0;3;Goodwin, Master. Harold Victor;masculino;9;5;2
483;0;3;Rouse, Mr. Richard Henry;masculino;50;0;0
484;1;3;Turkula, Mrs. (Hedwig);feminino;63;0;0
485;1;1;Bishop, Mr. Dickinson H;masculino;25;1;0
487;1;1;Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby);feminino;35;1;0
488;0;1;Kent, Mr. Edward Austin;masculino;58;0;0
489;0;3;Somerton, Mr. Francis William;masculino;30;0;0
490;1;3;"Coutts, Master. Eden Leslie ""Neville""";masculino;9;1;1
492;0;3;Windelov, Mr. Einar;masculino;21;0;0
493;0;1;Molson, Mr. Harry Markland;masculino;55;0;0
494;0;1;Artagaveytia, Mr. Ramon;masculino;71;0;0
495;0;3;Stanley, Mr. Edward Roland;masculino;21;0;0
497;1;1;Eustis, Miss. Elizabeth Mussey;feminino;54;1;0
499;0;1;Allison, Mrs. Hudson J C (Bessie Waldo Daniels);feminino;25;1;2
500;0;3;Svensson, Mr. Olof;masculino;24;0;0
501;0;3;Calic, Mr. Petar;masculino;17;0;0
502;0;3;Canavan, Miss. Mary;feminino;21;0;0
504;0;3;Laitinen, Miss. Kristina Sofia;feminino;37;0;0
505;1;1;Maioni, Miss. Roberta;feminino;16;0;0
506;0;1;Penasco y Castellana, Mr. Victor de Satode;masculino;18;1;0
507;1;2;Quick, Mrs. Frederick Charles (Jane Richards);feminino;33;0;2
509;0;3;Olsen, Mr. Henry Margido;masculino;28;0;0
510;1;3;Lang, Mr. Fang;masculino;26;0;0
511;1;3;Daly, Mr. Eugene Patrick;masculino;29;0;0
513;1;1;McGough, Mr. James Robert;masculino;36;0;0
